district,p_num,urban_num,rural_num,house_num,male_num,female_num,young_num,old_num,birth_num,death_num,natural_num,land_area
上海, 2 423.78,,,  5519500, 724.14, 738.23,  176.50,  502.03,6.7,  8.60,-  1.90, 6 340.50
浦东新区,  555.02,,,,,,  40.78,  95.22,,,, 1 210.41
黄浦区,  65.38,,,,,,  8.44,  32.56,,,,  20.46
徐汇区,  108.44,,,,,,  12.55,  31.95,,,,  54.76
长宁区,  69.40,,,,,,  6.44,  21.32,,,,  38.30
静安区,  106.28,,,,,,  10.45,  35.05,,,,  36.88
普陀区,  128.19,,,,,,  10.20,  34.49,,,,  54.83
虹口区,  79.70,,,,,,  7.17,  29.04,,,,  23.48
杨浦区,  131.27,,,,,,  11.60,  39.11,,,,  60.73
闵行区,  254.35,,,,,,  17.21,  34.75,,,,  370.75
宝山区,  204.23,,,,,,  12.15,  34.39,,,,  270.99
嘉定区,  158.89,,,,,,  8.15,  21.40,,,,  464.20
金山区,  80.50,,,,,,  5.64,  16.91,,,,  586.05
松江区,  176.22,,,,,,  8.90,  18.56,,,,  605.64
青浦区,  121.90,,,,,,  5.66,  15.35,,,,  670.14
奉贤区,  115.20,,,,,,  6.02,  17.30,,,,  687.39
崇明区,  68.81,,,,,,  5.15,  24.63,,,, 1 185.49
