district,school_num,student_num,enter_num,gra_num,teacher_num,school_type,school_type_eng
上海, 1 740,2002800,540300,449400,170300,普通高等学校，普通中等学校，中等专业学校，职业中学技工学校， 普通中学 ，工读学校普通小学 ，特殊教育学校,"Ordinary colleges and universities, ordinary secondary schools, secondary professional schools, vocational middle schools and technical schools, ordinary middle schools, work-study schools, ordinary primary schools, special education schools"
浦东新区,329,71174,90078,340842,25624,普通中学，小学,"General middle school, elementary school"
黄浦区,64,9755,12198,43806,4513,普通中学，小学,"General middle school, elementary school"
徐汇区,83,17138,21996,82976,6438,普通中学，小学,"General middle school, elementary school"
长宁区,49,8337,10071,39094,3697,普通中学，小学,"General middle school, elementary school"
静安区,95,15256,18419,69943,6286,普通中学，小学,"General middle school, elementary school"
普陀区,72,13266,17844,68147,5942,普通中学，小学,"General middle school, elementary school"
虹口区,70,9619,11422,44259,4684,普通中学，小学,"General middle school, elementary school"
杨浦区,91,13745,18182,68996,6310,普通中学，小学,"General middle school, elementary school"
闵行区,141,28697,40715,151663,11781,普通中学，小学,"General middle school, elementary school"
宝山区,136,21992,29086,111058,9103,普通中学，小学,"General middle school, elementary school"
嘉定区,86,15250,21898,80253,5883,普通中学，小学,"General middle school, elementary school"
金山区,60,11022,13028,49397,4429,普通中学，小学,"General middle school, elementary school"
松江区,81,19014,26408,98639,7636,普通中学，小学,"General middle school, elementary school"
青浦区,59,12365,13844,52286,4937,普通中学，小学,"General middle school, elementary school"
奉贤区,72,12408,14615,58271,5096,普通中学，小学,"General middle school, elementary school"
崇明区,66,7432,7818,31304,3790,普通中学，小学,"General middle school, elementary school"
