district,financial,fiscal_expend,toatl_import,total_export,total_output,per_output,total_employ
北京,5786 ,7471.4332,22303.9,4878.5,30319.98,30319.98,1237.8
东城区,176 ,251.5731,,,2425.6745,2425.6745,
西城区,431 ,429.7074,,,4243.8565,4243.8565,
朝阳区,534 ,563.2186,,,6093.5117,6093.5117,
丰台区,122 ,247.7544,152.5,47.7,1551.055,1551.055,
石景山区,62 ,124.5731,,,584.5964,584.5964,
海淀区,446 ,659.3246,240.1,142.9,6479.5017,6479.5017,
门头沟区,32 ,106.3385,,,188.0605,188.0605,
房山区,65 ,258.7255,,,761.7824,761.7824,
通州区,83 ,405.4044,,,832.4115,832.4115,
顺义区,159 ,315.0116,,,1864.0244,1864.0244,
昌平区,95 ,192.0285,139.1,95.7,902.0251,902.0251,
大兴区,92 ,259.9185,,,700.3773,700.3773,
怀柔区,40 ,153.3677,,,309.2999,309.2999,
平谷区,30 ,132.3096,,,251.004,251.004,
密云区,36 ,180.6818,,2.3,300.1686,300.1686,
延庆区,19 ,140.1207,,,151.8975,151.8975,
